band	soil
2011	0.4025825
2012	0.402982
2013	0.4033815
2014	0.403781
2015	0.4041805
2016	0.40458
2017	0.4049795
2018	0.405379
2019	0.4057785
2020	0.406178
2021	0.406507
2022	0.406836
2023	0.407165
2024	0.407494
2025	0.407823
2026	0.408152
2027	0.408481
2028	0.40881
2029	0.409139
2030	0.409468
2031	0.4097238
2032	0.4099796
2033	0.4102354
2034	0.4104912
2035	0.410747
2036	0.4110028
2037	0.4112586
2038	0.4115144
2039	0.4117702
2040	0.412026
2041	0.4122282
2042	0.4124304
2043	0.4126326
2044	0.4128348
2045	0.413037
2046	0.4132392
2047	0.4134414
2048	0.4136436
2049	0.4138458
2050	0.414048
2051	0.4142193
2052	0.4143906
2053	0.4145619
2054	0.4147332
2055	0.4149045
2056	0.4150758
2057	0.4152471
2058	0.4154184
2059	0.4155897
2060	0.415761
2061	0.4159023
2062	0.4160436
2063	0.4161849
2064	0.4163262
2065	0.4164675
2066	0.4166088
2067	0.4167501
